interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2023-05-18T00:00:00-05:00,2023-05-18T05:00:00+00:00,2023-05-19T00:00:00-05:00,2023-05-19T05:00:00+00:00,285406.0
2023-05-19T00:00:00-05:00,2023-05-19T05:00:00+00:00,2023-05-20T00:00:00-05:00,2023-05-20T05:00:00+00:00,211270.0
2023-05-20T00:00:00-05:00,2023-05-20T05:00:00+00:00,2023-05-21T00:00:00-05:00,2023-05-21T05:00:00+00:00,323911.0
2023-05-21T00:00:00-05:00,2023-05-21T05:00:00+00:00,2023-05-22T00:00:00-05:00,2023-05-22T05:00:00+00:00,346956.0
2023-05-22T00:00:00-05:00,2023-05-22T05:00:00+00:00,2023-05-23T00:00:00-05:00,2023-05-23T05:00:00+00:00,317560.0
2023-05-23T00:00:00-05:00,2023-05-23T05:00:00+00:00,2023-05-24T00:00:00-05:00,2023-05-24T05:00:00+00:00,338252.0
2023-05-24T00:00:00-05:00,2023-05-24T05:00:00+00:00,2023-05-25T00:00:00-05:00,2023-05-25T05:00:00+00:00,313726.0
2023-05-25T00:00:00-05:00,2023-05-25T05:00:00+00:00,2023-05-26T00:00:00-05:00,2023-05-26T05:00:00+00:00,360161.0
2023-05-26T00:00:00-05:00,2023-05-26T05:00:00+00:00,2023-05-27T00:00:00-05:00,2023-05-27T05:00:00+00:00,379074.0
2023-05-27T00:00:00-05:00,2023-05-27T05:00:00+00:00,2023-05-28T00:00:00-05:00,2023-05-28T05:00:00+00:00,357093.0
2023-05-28T00:00:00-05:00,2023-05-28T05:00:00+00:00,2023-05-29T00:00:00-05:00,2023-05-29T05:00:00+00:00,343645.0
2023-05-29T00:00:00-05:00,2023-05-29T05:00:00+00:00,2023-05-30T00:00:00-05:00,2023-05-30T05:00:00+00:00,349859.0
2023-05-30T00:00:00-05:00,2023-05-30T05:00:00+00:00,2023-05-31T00:00:00-05:00,2023-05-31T05:00:00+00:00,325382.0
2023-05-31T00:00:00-05:00,2023-05-31T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,311551.0
2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2023-06-02T00:00:00-05:00,2023-06-02T05:00:00+00:00,309800.0
2023-06-02T00:00:00-05:00,2023-06-02T05:00:00+00:00,2023-06-03T00:00:00-05:00,2023-06-03T05:00:00+00:00,338683.0
2023-06-03T00:00:00-05:00,2023-06-03T05:00:00+00:00,2023-06-04T00:00:00-05:00,2023-06-04T05:00:00+00:00,341403.0
2023-06-04T00:00:00-05:00,2023-06-04T05:00:00+00:00,2023-06-05T00:00:00-05:00,2023-06-05T05:00:00+00:00,326818.0
2023-06-05T00:00:00-05:00,2023-06-05T05:00:00+00:00,2023-06-06T00:00:00-05:00,2023-06-06T05:00:00+00:00,283219.0
2023-06-06T00:00:00-05:00,2023-06-06T05:00:00+00:00,2023-06-07T00:00:00-05:00,2023-06-07T05:00:00+00:00,261397.0
2023-06-07T00:00:00-05:00,2023-06-07T05:00:00+00:00,2023-06-08T00:00:00-05:00,2023-06-08T05:00:00+00:00,296483.0
2023-06-08T00:00:00-05:00,2023-06-08T05:00:00+00:00,2023-06-09T00:00:00-05:00,2023-06-09T05:00:00+00:00,334932.0
2023-06-09T00:00:00-05:00,2023-06-09T05:00:00+00:00,2023-06-10T00:00:00-05:00,2023-06-10T05:00:00+00:00,351307.0
2023-06-10T00:00:00-05:00,2023-06-10T05:00:00+00:00,2023-06-11T00:00:00-05:00,2023-06-11T05:00:00+00:00,279443.0
2023-06-11T00:00:00-05:00,2023-06-11T05:00:00+00:00,2023-06-12T00:00:00-05:00,2023-06-12T05:00:00+00:00,144758.0
2023-06-12T00:00:00-05:00,2023-06-12T05:00:00+00:00,2023-06-13T00:00:00-05:00,2023-06-13T05:00:00+00:00,267574.0
2023-06-13T00:00:00-05:00,2023-06-13T05:00:00+00:00,2023-06-14T00:00:00-05:00,2023-06-14T05:00:00+00:00,227295.0
2023-06-14T00:00:00-05:00,2023-06-14T05:00:00+00:00,2023-06-15T00:00:00-05:00,2023-06-15T05:00:00+00:00,266293.0
2023-06-15T00:00:00-05:00,2023-06-15T05:00:00+00:00,2023-06-16T00:00:00-05:00,2023-06-16T05:00:00+00:00,275936.0
2023-06-16T00:00:00-05:00,2023-06-16T05:00:00+00:00,2023-06-17T00:00:00-05:00,2023-06-17T05:00:00+00:00,310510.0
2023-06-17T00:00:00-05:00,2023-06-17T05:00:00+00:00,2023-06-18T00:00:00-05:00,2023-06-18T05:00:00+00:00,370310.0
2023-06-18T00:00:00-05:00,2023-06-18T05:00:00+00:00,2023-06-19T00:00:00-05:00,2023-06-19T05:00:00+00:00,279347.0
2023-06-19T00:00:00-05:00,2023-06-19T05:00:00+00:00,2023-06-20T00:00:00-05:00,2023-06-20T05:00:00+00:00,342021.0
2023-06-20T00:00:00-05:00,2023-06-20T05:00:00+00:00,2023-06-21T00:00:00-05:00,2023-06-21T05:00:00+00:00,385007.0
2023-06-21T00:00:00-05:00,2023-06-21T05:00:00+00:00,2023-06-22T00:00:00-05:00,2023-06-22T05:00:00+00:00,362174.0
2023-06-22T00:00:00-05:00,2023-06-22T05:00:00+00:00,2023-06-23T00:00:00-05:00,2023-06-23T05:00:00+00:00,337784.0
2023-06-23T00:00:00-05:00,2023-06-23T05:00:00+00:00,2023-06-24T00:00:00-05:00,2023-06-24T05:00:00+00:00,305965.0
2023-06-24T00:00:00-05:00,2023-06-24T05:00:00+00:00,2023-06-25T00:00:00-05:00,2023-06-25T05:00:00+00:00,350767.0
2023-06-25T00:00:00-05:00,2023-06-25T05:00:00+00:00,2023-06-26T00:00:00-05:00,2023-06-26T05:00:00+00:00,264131.0
2023-06-26T00:00:00-05:00,2023-06-26T05:00:00+00:00,2023-06-27T00:00:00-05:00,2023-06-27T05:00:00+00:00,205494.0
2023-06-27T00:00:00-05:00,2023-06-27T05:00:00+00:00,2023-06-28T00:00:00-05:00,2023-06-28T05:00:00+00:00,254139.0
2023-06-28T00:00:00-05:00,2023-06-28T05:00:00+00:00,2023-06-29T00:00:00-05:00,2023-06-29T05:00:00+00:00,281837.0
2023-06-29T00:00:00-05:00,2023-06-29T05:00:00+00:00,2023-06-30T00:00:00-05:00,2023-06-30T05:00:00+00:00,251923.0
2023-06-30T00:00:00-05:00,2023-06-30T05:00:00+00:00,2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,296611.0
2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,2023-07-02T00:00:00-05:00,2023-07-02T05:00:00+00:00,215797.0
2023-07-02T00:00:00-05:00,2023-07-02T05:00:00+00:00,2023-07-03T00:00:00-05:00,2023-07-03T05:00:00+00:00,250211.0
2023-07-03T00:00:00-05:00,2023-07-03T05:00:00+00:00,2023-07-04T00:00:00-05:00,2023-07-04T05:00:00+00:00,331572.0
2023-07-04T00:00:00-05:00,2023-07-04T05:00:00+00:00,2023-07-05T00:00:00-05:00,2023-07-05T05:00:00+00:00,294459.0
2023-07-05T00:00:00-05:00,2023-07-05T05:00:00+00:00,2023-07-06T00:00:00-05:00,2023-07-06T05:00:00+00:00,281116.0
2023-07-06T00:00:00-05:00,2023-07-06T05:00:00+00:00,2023-07-07T00:00:00-05:00,2023-07-07T05:00:00+00:00,307837.0
2023-07-07T00:00:00-05:00,2023-07-07T05:00:00+00:00,2023-07-08T00:00:00-05:00,2023-07-08T05:00:00+00:00,317333.0
2023-07-08T00:00:00-05:00,2023-07-08T05:00:00+00:00,2023-07-09T00:00:00-05:00,2023-07-09T05:00:00+00:00,247499.0
