interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,market,spp
2024-06-04T16:00:00-05:00,2024-06-04T21:00:00+00:00,2024-06-04T17:00:00-05:00,2024-06-04T22:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,63.77
2024-06-04T17:00:00-05:00,2024-06-04T22:00:00+00:00,2024-06-04T18:00:00-05:00,2024-06-04T23:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,60.5
2024-06-04T18:00:00-05:00,2024-06-04T23:00:00+00:00,2024-06-04T19:00:00-05:00,2024-06-05T00:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,61.88
2024-06-04T19:00:00-05:00,2024-06-05T00:00:00+00:00,2024-06-04T20:00:00-05:00,2024-06-05T01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,112.54
2024-06-04T20:00:00-05:00,2024-06-05T01:00:00+00:00,2024-06-04T21:00:00-05:00,2024-06-05T02:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,79.07
2024-06-04T21:00:00-05:00,2024-06-05T02:00:00+00:00,2024-06-04T22:00:00-05:00,2024-06-05T03:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,38.57
2024-06-04T22:00:00-05:00,2024-06-05T03:00:00+00:00,2024-06-04T23:00:00-05:00,2024-06-05T04:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,26.92
2024-06-04T23:00:00-05:00,2024-06-05T04:00:00+00:00,2024-06-05T00:00:00-05:00,2024-06-05T05:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,21.91
2024-06-05T00:00:00-05:00,2024-06-05T05:00:00+00:00,2024-06-05T01:00:00-05:00,2024-06-05T06:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,18.54
2024-06-05T01:00:00-05:00,2024-06-05T06:00:00+00:00,2024-06-05T02:00:00-05:00,2024-06-05T07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.12
2024-06-05T02:00:00-05:00,2024-06-05T07:00:00+00:00,2024-06-05T03:00:00-05:00,2024-06-05T08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.57
2024-06-05T03:00:00-05:00,2024-06-05T08:00:00+00:00,2024-06-05T04:00:00-05:00,2024-06-05T09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.83
2024-06-05T04:00:00-05:00,2024-06-05T09:00:00+00:00,2024-06-05T05:00:00-05:00,2024-06-05T10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.77
2024-06-05T05:00:00-05:00,2024-06-05T10:00:00+00:00,2024-06-05T06:00:00-05:00,2024-06-05T11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.76
2024-06-05T06:00:00-05:00,2024-06-05T11:00:00+00:00,2024-06-05T07:00:00-05:00,2024-06-05T12:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,22.15
2024-06-05T07:00:00-05:00,2024-06-05T12:00:00+00:00,2024-06-05T08:00:00-05:00,2024-06-05T13:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.71
2024-06-05T08:00:00-05:00,2024-06-05T13:00:00+00:00,2024-06-05T09:00:00-05:00,2024-06-05T14:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.09
2024-06-05T09:00:00-05:00,2024-06-05T14:00:00+00:00,2024-06-05T10:00:00-05:00,2024-06-05T15:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.75
2024-06-05T10:00:00-05:00,2024-06-05T15:00:00+00:00,2024-06-05T11:00:00-05:00,2024-06-05T16:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.88
2024-06-05T11:00:00-05:00,2024-06-05T16:00:00+00:00,2024-06-05T12:00:00-05:00,2024-06-05T17:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,24.14
2024-06-05T12:00:00-05:00,2024-06-05T17:00:00+00:00,2024-06-05T13:00:00-05:00,2024-06-05T18:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,31.37
2024-06-05T13:00:00-05:00,2024-06-05T18:00:00+00:00,2024-06-05T14:00:00-05:00,2024-06-05T19:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,41.26
2024-06-05T14:00:00-05:00,2024-06-05T19:00:00+00:00,2024-06-05T15:00:00-05:00,2024-06-05T20:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,46.02
2024-06-05T15:00:00-05:00,2024-06-05T20:00:00+00:00,2024-06-05T16:00:00-05:00,2024-06-05T21:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,65.33
2024-06-05T16:00:00-05:00,2024-06-05T21:00:00+00:00,2024-06-05T17:00:00-05:00,2024-06-05T22:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,78.78
2024-06-05T17:00:00-05:00,2024-06-05T22:00:00+00:00,2024-06-05T18:00:00-05:00,2024-06-05T23:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,77.05
2024-06-05T18:00:00-05:00,2024-06-05T23:00:00+00:00,2024-06-05T19:00:00-05:00,2024-06-06T00:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,77.53
2024-06-05T19:00:00-05:00,2024-06-06T00:00:00+00:00,2024-06-05T20:00:00-05:00,2024-06-06T01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,117.64
2024-06-05T20:00:00-05:00,2024-06-06T01:00:00+00:00,2024-06-05T21:00:00-05:00,2024-06-06T02:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,138.96
2024-06-05T21:00:00-05:00,2024-06-06T02:00:00+00:00,2024-06-05T22:00:00-05:00,2024-06-06T03:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,63.25
2024-06-05T22:00:00-05:00,2024-06-06T03:00:00+00:00,2024-06-05T23:00:00-05:00,2024-06-06T04:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,28.44
2024-06-05T23:00:00-05:00,2024-06-06T04:00:00+00:00,2024-06-06T00:00:00-05:00,2024-06-06T05:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.72
2024-06-06T00:00:00-05:00,2024-06-06T05:00:00+00:00,2024-06-06T01:00:00-05:00,2024-06-06T06:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.05
2024-06-06T01:00:00-05:00,2024-06-06T06:00:00+00:00,2024-06-06T02:00:00-05:00,2024-06-06T07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.42
2024-06-06T02:00:00-05:00,2024-06-06T07:00:00+00:00,2024-06-06T03:00:00-05:00,2024-06-06T08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.38
2024-06-06T03:00:00-05:00,2024-06-06T08:00:00+00:00,2024-06-06T04:00:00-05:00,2024-06-06T09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,15.7
2024-06-06T04:00:00-05:00,2024-06-06T09:00:00+00:00,2024-06-06T05:00:00-05:00,2024-06-06T10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,15.23
2024-06-06T05:00:00-05:00,2024-06-06T10:00:00+00:00,2024-06-06T06:00:00-05:00,2024-06-06T11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.88
