interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2023-06-05T14:00:00-04:00,2023-06-05T18:00:00+00:00,2023-06-05T15:00:00-04:00,2023-06-05T19:00:00+00:00,.H.INTERNAL_HUB,HUB,26.11
2023-06-05T15:00:00-04:00,2023-06-05T19:00:00+00:00,2023-06-05T16:00:00-04:00,2023-06-05T20:00:00+00:00,.H.INTERNAL_HUB,HUB,25.58
2023-06-05T16:00:00-04:00,2023-06-05T20:00:00+00:00,2023-06-05T17:00:00-04:00,2023-06-05T21:00:00+00:00,.H.INTERNAL_HUB,HUB,26.33
2023-06-05T17:00:00-04:00,2023-06-05T21:00:00+00:00,2023-06-05T18:00:00-04:00,2023-06-05T22:00:00+00:00,.H.INTERNAL_HUB,HUB,32.43
2023-06-05T18:00:00-04:00,2023-06-05T22:00:00+00:00,2023-06-05T19:00:00-04:00,2023-06-05T23:00:00+00:00,.H.INTERNAL_HUB,HUB,31.84
2023-06-05T19:00:00-04:00,2023-06-05T23:00:00+00:00,2023-06-05T20:00:00-04:00,2023-06-06T00:00:00+00:00,.H.INTERNAL_HUB,HUB,31.68
2023-06-05T20:00:00-04:00,2023-06-06T00:00:00+00:00,2023-06-05T21:00:00-04:00,2023-06-06T01:00:00+00:00,.H.INTERNAL_HUB,HUB,28.07
2023-06-05T21:00:00-04:00,2023-06-06T01:00:00+00:00,2023-06-05T22:00:00-04:00,2023-06-06T02:00:00+00:00,.H.INTERNAL_HUB,HUB,26.61
2023-06-05T22:00:00-04:00,2023-06-06T02:00:00+00:00,2023-06-05T23:00:00-04:00,2023-06-06T03:00:00+00:00,.H.INTERNAL_HUB,HUB,24.36
2023-06-05T23:00:00-04:00,2023-06-06T03:00:00+00:00,2023-06-06T00:00:00-04:00,2023-06-06T04:00:00+00:00,.H.INTERNAL_HUB,HUB,21.69
2023-06-06T00:00:00-04:00,2023-06-06T04:00:00+00:00,2023-06-06T01:00:00-04:00,2023-06-06T05:00:00+00:00,.H.INTERNAL_HUB,HUB,20.92
2023-06-06T01:00:00-04:00,2023-06-06T05:00:00+00:00,2023-06-06T02:00:00-04:00,2023-06-06T06:00:00+00:00,.H.INTERNAL_HUB,HUB,19.6
2023-06-06T02:00:00-04:00,2023-06-06T06:00:00+00:00,2023-06-06T03:00:00-04:00,2023-06-06T07:00:00+00:00,.H.INTERNAL_HUB,HUB,18.49
2023-06-06T03:00:00-04:00,2023-06-06T07:00:00+00:00,2023-06-06T04:00:00-04:00,2023-06-06T08:00:00+00:00,.H.INTERNAL_HUB,HUB,17.6
2023-06-06T04:00:00-04:00,2023-06-06T08:00:00+00:00,2023-06-06T05:00:00-04:00,2023-06-06T09:00:00+00:00,.H.INTERNAL_HUB,HUB,17.58
2023-06-06T05:00:00-04:00,2023-06-06T09:00:00+00:00,2023-06-06T06:00:00-04:00,2023-06-06T10:00:00+00:00,.H.INTERNAL_HUB,HUB,20.51
2023-06-06T06:00:00-04:00,2023-06-06T10:00:00+00:00,2023-06-06T07:00:00-04:00,2023-06-06T11:00:00+00:00,.H.INTERNAL_HUB,HUB,25.28
2023-06-06T07:00:00-04:00,2023-06-06T11:00:00+00:00,2023-06-06T08:00:00-04:00,2023-06-06T12:00:00+00:00,.H.INTERNAL_HUB,HUB,26.38
2023-06-06T08:00:00-04:00,2023-06-06T12:00:00+00:00,2023-06-06T09:00:00-04:00,2023-06-06T13:00:00+00:00,.H.INTERNAL_HUB,HUB,26.21
2023-06-06T09:00:00-04:00,2023-06-06T13:00:00+00:00,2023-06-06T10:00:00-04:00,2023-06-06T14:00:00+00:00,.H.INTERNAL_HUB,HUB,21.89
2023-06-06T10:00:00-04:00,2023-06-06T14:00:00+00:00,2023-06-06T11:00:00-04:00,2023-06-06T15:00:00+00:00,.H.INTERNAL_HUB,HUB,21.6
2023-06-06T11:00:00-04:00,2023-06-06T15:00:00+00:00,2023-06-06T12:00:00-04:00,2023-06-06T16:00:00+00:00,.H.INTERNAL_HUB,HUB,21.64
