interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,reserve_zone_id,reserve_zone_name,ten_min_spin_requirement,tmnsr_clearing_price,tmnsr_designated_mw,tmor_clearing_price,tmor_designated_mw,tmsr_clearing_price,tmsr_designated_mw,total_10_min_requirement,total_30_min_requirement
2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,92.367,0.31,4.0,0.0,1435.0
2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,7000,ROS,388.0,0.0,1933.9,0.0,869.508,0.31,426.75,1550.5,2335.75
2022-06-01T14:00:00-04:00,2022-06-01T18:00:00+00:00,2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,7001,SWCT,0.0,0.0,670.5,0.0,325.417,0.31,4.0,0.0,1211.8
2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,147.817,0.08,100.867,0.0,498.117
2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,95.767,0.08,6.833,0.0,1435.0
2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,7000,ROS,388.0,0.0,1980.517,0.0,924.2,0.08,525.783,1548.917,2333.917
2022-06-01T15:00:00-04:00,2022-06-01T19:00:00+00:00,2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,7001,SWCT,0.0,0.0,670.5,0.0,325.4,0.08,10.667,0.0,1224.283
2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,149.483,0.13,79.033,0.0,473.408
2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,91.3,0.13,5.917,0.0,1435.0
2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,7000,ROS,388.0,0.0,1752.842,0.0,1017.05,0.13,478.7,1548.667,2333.667
2022-06-01T16:00:00-04:00,2022-06-01T20:00:00+00:00,2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,7001,SWCT,0.0,0.0,662.983,0.0,320.817,0.13,8.0,0.0,1230.908
2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,133.692,2.02,43.408,0.0,479.0
2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,89.3,2.02,5.333,0.0,1435.0
2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,7000,ROS,387.833,0.0,1876.608,0.0,878.75,2.02,385.0,1548.833,2333.833
2022-06-01T17:00:00-04:00,2022-06-01T21:00:00+00:00,2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,7001,SWCT,0.0,0.0,635.4,0.0,304.833,2.02,6.0,0.0,1235.85
2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,143.267,0.29,19.692,0.0,513.992
2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,86.875,0.29,4.292,0.0,1435.0
2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,7000,ROS,387.25,0.0,1686.55,0.0,841.375,0.29,414.858,1546.75,2331.75
2022-06-01T18:00:00-04:00,2022-06-01T22:00:00+00:00,2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,7001,SWCT,0.0,0.0,626.4,0.0,296.908,0.29,4.0,0.0,1270.358
2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,146.392,0.62,22.817,0.0,534.117
2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,102.667,0.62,4.925,0.0,1435.0
2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,7000,ROS,387.417,0.0,1744.825,0.0,879.05,0.62,407.883,1546.417,2331.25
2022-06-01T19:00:00-04:00,2022-06-01T23:00:00+00:00,2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,7001,SWCT,0.0,0.0,626.4,0.0,296.9,0.62,4.0,0.0,1290.375
2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,125.883,0.96,28.892,0.0,475.775
2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,111.942,0.96,3.808,0.0,1435.0
2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,7000,ROS,386.583,0.0,1985.083,0.0,808.908,0.96,369.542,1544.667,2329.417
2022-06-01T20:00:00-04:00,2022-06-02T00:00:00+00:00,2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,7001,SWCT,0.0,0.0,626.4,0.0,296.717,0.96,4.0,0.0,1231.1
2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,155.5,0.12,45.625,0.0,461.058
2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,111.983,0.12,4.825,0.0,1435.0
2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,7000,ROS,386.583,0.0,2044.167,0.0,974.542,0.12,392.642,1543.583,2328.083
2022-06-01T21:00:00-04:00,2022-06-02T01:00:00+00:00,2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,7001,SWCT,0.0,0.0,630.933,0.0,315.183,0.12,7.333,0.0,1215.333
2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,157.992,4.42,94.625,0.0,503.092
2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,114.9,4.42,7.3,0.0,1435.0
2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,7000,ROS,386.833,0.0,2288.333,0.0,847.5,4.42,390.433,1545.083,2329.417
2022-06-01T22:00:00-04:00,2022-06-02T02:00:00+00:00,2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,7001,SWCT,0.0,0.0,660.5,0.0,321.717,4.42,12.0,0.0,1256.925
2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,116.325,11.61,56.917,0.0,608.583
2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,7003,NEMABSTN,0.0,0.0,34.542,0.0,70.833,11.61,5.875,0.0,1435.0
2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,7000,ROS,386.667,0.0,2264.225,0.0,676.942,11.61,317.283,1544.5,2328.917
2022-06-01T23:00:00-04:00,2022-06-02T03:00:00+00:00,2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,7001,SWCT,0.0,0.0,410.975,0.0,173.783,11.61,6.667,0.0,1245.167
2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,2022-06-02T01:00:00-04:00,2022-06-02T05:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,148.983,7.5,110.783,0.0,576.467
2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,2022-06-02T01:00:00-04:00,2022-06-02T05:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,70.9,7.5,6.4,0.0,1435.0
2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,2022-06-02T01:00:00-04:00,2022-06-02T05:00:00+00:00,7000,ROS,387.25,0.0,1840.675,0.0,1045.958,7.5,345.208,1545.917,2329.917
2022-06-02T00:00:00-04:00,2022-06-02T04:00:00+00:00,2022-06-02T01:00:00-04:00,2022-06-02T05:00:00+00:00,7001,SWCT,0.0,0.0,329.4,0.0,128.5,7.5,30.0,0.0,1273.4
2022-06-02T01:00:00-04:00,2022-06-02T05:00:00+00:00,2022-06-02T02:00:00-04:00,2022-06-02T06:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,127.442,0.0,24.408,0.0,531.717
