interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2024-06-07T08:00:00-05:00,2024-06-07T13:00:00+00:00,2024-06-07T09:00:00-05:00,2024-06-07T14:00:00+00:00,HB_HOUSTON,12.75
2024-06-07T09:00:00-05:00,2024-06-07T14:00:00+00:00,2024-06-07T10:00:00-05:00,2024-06-07T15:00:00+00:00,HB_HOUSTON,13.0
2024-06-07T10:00:00-05:00,2024-06-07T15:00:00+00:00,2024-06-07T11:00:00-05:00,2024-06-07T16:00:00+00:00,HB_HOUSTON,15.85
2024-06-07T11:00:00-05:00,2024-06-07T16:00:00+00:00,2024-06-07T12:00:00-05:00,2024-06-07T17:00:00+00:00,HB_HOUSTON,20.3
2024-06-07T12:00:00-05:00,2024-06-07T17:00:00+00:00,2024-06-07T13:00:00-05:00,2024-06-07T18:00:00+00:00,HB_HOUSTON,27.92
2024-06-07T13:00:00-05:00,2024-06-07T18:00:00+00:00,2024-06-07T14:00:00-05:00,2024-06-07T19:00:00+00:00,HB_HOUSTON,37.76
2024-06-07T14:00:00-05:00,2024-06-07T19:00:00+00:00,2024-06-07T15:00:00-05:00,2024-06-07T20:00:00+00:00,HB_HOUSTON,47.24
2024-06-07T15:00:00-05:00,2024-06-07T20:00:00+00:00,2024-06-07T16:00:00-05:00,2024-06-07T21:00:00+00:00,HB_HOUSTON,50.43
2024-06-07T16:00:00-05:00,2024-06-07T21:00:00+00:00,2024-06-07T17:00:00-05:00,2024-06-07T22:00:00+00:00,HB_HOUSTON,57.31
2024-06-07T17:00:00-05:00,2024-06-07T22:00:00+00:00,2024-06-07T18:00:00-05:00,2024-06-07T23:00:00+00:00,HB_HOUSTON,56.7
2024-06-07T18:00:00-05:00,2024-06-07T23:00:00+00:00,2024-06-07T19:00:00-05:00,2024-06-08T00:00:00+00:00,HB_HOUSTON,50.3
