interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,pnode,lmp,energy,congestion,loss
2024-01-07T12:00:00-06:00,2024-01-07T18:00:00+00:00,2024-01-07T13:00:00-06:00,2024-01-07T19:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,13.3268,26.9265,-11.7735,-1.8262
2024-01-07T13:00:00-06:00,2024-01-07T19:00:00+00:00,2024-01-07T14:00:00-06:00,2024-01-07T20:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,35.2293,23.6378,10.9056,0.6859
2024-01-07T13:00:00-06:00,2024-01-07T19:00:00+00:00,2024-01-07T14:00:00-06:00,2024-01-07T20:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,8.7174,23.6379,-13.131,-1.7895
2024-01-07T14:00:00-06:00,2024-01-07T20:00:00+00:00,2024-01-07T15:00:00-06:00,2024-01-07T21:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,36.1351,21.9106,13.6248,0.5997
2024-01-07T14:00:00-06:00,2024-01-07T20:00:00+00:00,2024-01-07T15:00:00-06:00,2024-01-07T21:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,5.3712,21.9107,-14.9896,-1.5499
2024-01-07T15:00:00-06:00,2024-01-07T21:00:00+00:00,2024-01-07T16:00:00-06:00,2024-01-07T22:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,37.6944,22.7003,14.3021,0.692
2024-01-07T15:00:00-06:00,2024-01-07T21:00:00+00:00,2024-01-07T16:00:00-06:00,2024-01-07T22:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,4.7635,22.7004,-16.2143,-1.7226
2024-01-07T16:00:00-06:00,2024-01-07T22:00:00+00:00,2024-01-07T17:00:00-06:00,2024-01-07T23:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,41.3778,27.0587,13.5816,0.7375
2024-01-07T16:00:00-06:00,2024-01-07T22:00:00+00:00,2024-01-07T17:00:00-06:00,2024-01-07T23:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,6.2949,27.0587,-18.7233,-2.0405
2024-01-07T17:00:00-06:00,2024-01-07T23:00:00+00:00,2024-01-07T18:00:00-06:00,2024-01-08T00:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,48.5762,33.0552,14.9415,0.5795
2024-01-07T17:00:00-06:00,2024-01-07T23:00:00+00:00,2024-01-07T18:00:00-06:00,2024-01-08T00:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,15.0271,33.0553,-15.8585,-2.1697
2024-01-07T18:00:00-06:00,2024-01-08T00:00:00+00:00,2024-01-07T19:00:00-06:00,2024-01-08T01:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,36.3118,29.5314,6.5165,0.2639
2024-01-07T18:00:00-06:00,2024-01-08T00:00:00+00:00,2024-01-07T19:00:00-06:00,2024-01-08T01:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,15.8197,29.5314,-11.8887,-1.823
2024-01-07T19:00:00-06:00,2024-01-08T01:00:00+00:00,2024-01-07T20:00:00-06:00,2024-01-08T02:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,30.68,28.0484,2.5494,0.0822
2024-01-07T19:00:00-06:00,2024-01-08T01:00:00+00:00,2024-01-07T20:00:00-06:00,2024-01-08T02:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,15.6922,28.0485,-10.6216,-1.7347
2024-01-07T20:00:00-06:00,2024-01-08T02:00:00+00:00,2024-01-07T21:00:00-06:00,2024-01-08T03:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,24.1945,26.8063,-2.7136,0.1018
2024-01-07T20:00:00-06:00,2024-01-08T02:00:00+00:00,2024-01-07T21:00:00-06:00,2024-01-08T03:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,12.9153,26.8063,-12.1603,-1.7307
2024-01-07T21:00:00-06:00,2024-01-08T03:00:00+00:00,2024-01-07T22:00:00-06:00,2024-01-08T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,18.6721,24.0841,-5.4511,0.0391
2024-01-07T21:00:00-06:00,2024-01-08T03:00:00+00:00,2024-01-07T22:00:00-06:00,2024-01-08T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,9.79,24.0842,-12.7184,-1.5758
2024-01-07T22:00:00-06:00,2024-01-08T04:00:00+00:00,2024-01-07T23:00:00-06:00,2024-01-08T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,13.3236,20.1942,-6.947,0.0764
2024-01-07T22:00:00-06:00,2024-01-08T04:00:00+00:00,2024-01-07T23:00:00-06:00,2024-01-08T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,1.5831,20.1942,-17.2406,-1.3705
2024-01-07T23:00:00-06:00,2024-01-08T05:00:00+00:00,2024-01-08T00:00:00-06:00,2024-01-08T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,9.7566,15.9114,-6.2259,0.0711
2024-01-07T23:00:00-06:00,2024-01-08T05:00:00+00:00,2024-01-08T00:00:00-06:00,2024-01-08T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,0.8082,15.9113,-13.9723,-1.1308
2024-01-08T00:00:00-06:00,2024-01-08T06:00:00+00:00,2024-01-08T01:00:00-06:00,2024-01-08T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,3.0767,22.9874,-19.7421,-0.1686
2024-01-08T00:00:00-06:00,2024-01-08T06:00:00+00:00,2024-01-08T01:00:00-06:00,2024-01-08T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,0.2441,22.9874,-21.4082,-1.3351
2024-01-08T01:00:00-06:00,2024-01-08T07:00:00+00:00,2024-01-08T02:00:00-06:00,2024-01-08T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,2.2354,21.4864,-19.1132,-0.1378
2024-01-08T01:00:00-06:00,2024-01-08T07:00:00+00:00,2024-01-08T02:00:00-06:00,2024-01-08T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,-1.2673,21.4863,-21.4943,-1.2593
2024-01-08T02:00:00-06:00,2024-01-08T08:00:00+00:00,2024-01-08T03:00:00-06:00,2024-01-08T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,0.76,21.3981,-20.4758,-0.1623
2024-01-08T02:00:00-06:00,2024-01-08T08:00:00+00:00,2024-01-08T03:00:00-06:00,2024-01-08T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,-5.0003,21.3981,-25.1527,-1.2457
2024-01-08T03:00:00-06:00,2024-01-08T09:00:00+00:00,2024-01-08T04:00:00-06:00,2024-01-08T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,1.4573,21.2676,-19.613,-0.1973
2024-01-08T03:00:00-06:00,2024-01-08T09:00:00+00:00,2024-01-08T04:00:00-06:00,2024-01-08T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,-6.3766,21.2677,-26.448,-1.1963
2024-01-08T04:00:00-06:00,2024-01-08T10:00:00+00:00,2024-01-08T05:00:00-06:00,2024-01-08T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,4.2906,26.7648,-22.2889,-0.1853
2024-01-08T04:00:00-06:00,2024-01-08T10:00:00+00:00,2024-01-08T05:00:00-06:00,2024-01-08T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,0.0105,26.7647,-25.2907,-1.4635
2024-01-08T05:00:00-06:00,2024-01-08T11:00:00+00:00,2024-01-08T06:00:00-06:00,2024-01-08T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,9.9152,30.8127,-20.8001,-0.0974
2024-01-08T05:00:00-06:00,2024-01-08T11:00:00+00:00,2024-01-08T06:00:00-06:00,2024-01-08T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,2.7386,30.8127,-26.4495,-1.6246
