interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,regulation_down,regulation_up,spinning_reserves
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,2.05681,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_CAISO_EXP,DAM,0.15,12.01,1.55,1.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_NP26_EXP,DAM,0.0,5.91485,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.17,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_CAISO_EXP,DAM,0.15,20.0,1.55,1.37192
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_NP26_EXP,DAM,0.0,6.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.74192,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_CAISO_EXP,DAM,0.15,25.59405,1.55,1.45373
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T09:00:00-07:00,2022-06-01T16:00:00+00:00,2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.82373,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_CAISO_EXP,DAM,0.15,25.52492,1.55,1.46201
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T10:00:00-07:00,2022-06-01T17:00:00+00:00,2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.83201,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_CAISO_EXP,DAM,0.15,18.07825,1.55,1.14
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T11:00:00-07:00,2022-06-01T18:00:00+00:00,2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.51,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T12:00:00-07:00,2022-06-01T19:00:00+00:00,2022-06-01T13:00:00-07:00,2022-06-01T20:00:00+00:00,AS_CAISO_EXP,DAM,0.15,9.84297,1.55,1.0
