timestamp,total_load_mw,hour_of_day,day_of_week,month
2024-12-18 21:00:00,49908.105024,21,3,12
2024-12-18 22:00:00,48975.37325799999,22,3,12
2024-12-18 23:00:00,47257.367684,23,3,12
2024-12-19 00:00:00,45337.534620000006,0,4,12
2024-12-19 01:00:00,43908.871636,1,4,12
2024-12-19 02:00:00,43361.51031800001,2,4,12
2024-12-19 03:00:00,43312.770574999995,3,4,12
2024-12-19 04:00:00,43671.51046699999,4,4,12
2024-12-19 05:00:00,44645.748274000005,5,4,12
2024-12-19 06:00:00,47304.19026499999,6,4,12
2024-12-19 07:00:00,51431.284245,7,4,12
2024-12-19 08:00:00,53336.773190000014,8,4,12
2024-12-19 09:00:00,52773.071307,9,4,12
2024-12-19 10:00:00,51345.484462,10,4,12
2024-12-19 11:00:00,49915.97652000001,11,4,12
2024-12-19 12:00:00,48646.832571,12,4,12
2024-12-19 13:00:00,47590.387379,13,4,12
2024-12-19 14:00:00,46960.306511999996,14,4,12
2024-12-19 15:00:00,46815.576692,15,4,12
2024-12-19 16:00:00,46942.14763399999,16,4,12
2024-12-19 17:00:00,47379.880393,17,4,12
2024-12-19 18:00:00,48766.261806,18,4,12
2024-12-19 19:00:00,50076.791253,19,4,12
2024-12-19 20:00:00,50087.673364999995,20,4,12
2024-12-19 21:00:00,49892.841131999994,21,4,12
2024-12-19 22:00:00,48955.570451,22,4,12
2024-12-19 23:00:00,47199.010014,23,4,12
2024-12-20 00:00:00,45340.84338400001,0,5,12
2024-12-20 01:00:00,44027.105695,1,5,12
2024-12-20 02:00:00,43390.881968999995,2,5,12
2024-12-20 03:00:00,43237.174849,3,5,12
2024-12-20 04:00:00,43462.50440700001,4,5,12
2024-12-20 05:00:00,44423.072375,5,5,12
2024-12-20 06:00:00,46659.091791000006,6,5,12
2024-12-20 07:00:00,49770.453410999995,7,5,12
2024-12-20 08:00:00,51342.913625999994,8,5,12
2024-12-20 09:00:00,51477.791961,9,5,12
2024-12-20 10:00:00,50721.448769999995,10,5,12
2024-12-20 11:00:00,49605.964852,11,5,12
2024-12-20 12:00:00,48557.499410000004,12,5,12
2024-12-20 13:00:00,47679.060762999994,13,5,12
2024-12-20 14:00:00,47341.073581,14,5,12
2024-12-20 15:00:00,47069.918983,15,5,12
2024-12-20 16:00:00,47141.147424,16,5,12
2024-12-20 17:00:00,47443.880704,17,5,12
2024-12-20 18:00:00,48103.041243,18,5,12
2024-12-20 19:00:00,48805.899464999995,19,5,12
2024-12-20 20:00:00,49005.897001,20,5,12
2024-12-20 21:00:00,49648.168005,21,5,12
2024-12-20 22:00:00,49559.669369,22,5,12
2024-12-20 23:00:00,48654.137573,23,5,12
2024-12-21 00:00:00,47549.648546,0,6,12
2024-12-21 01:00:00,46519.056943999996,1,6,12
2024-12-21 02:00:00,46094.288753,2,6,12
2024-12-21 03:00:00,46029.90336299999,3,6,12
2024-12-21 04:00:00,46264.168973,4,6,12
2024-12-21 05:00:00,46875.230397,5,6,12
2024-12-21 06:00:00,48345.028348,6,6,12
2024-12-21 07:00:00,50238.539239,7,6,12
2024-12-21 08:00:00,52268.025203,8,6,12
2024-12-21 09:00:00,52693.049316,9,6,12
2024-12-21 10:00:00,52058.810722,10,6,12
2024-12-21 11:00:00,50640.772817,11,6,12
2024-12-21 12:00:00,48976.07337699999,12,6,12
2024-12-21 13:00:00,47436.142001,13,6,12
2024-12-21 14:00:00,46230.766599,14,6,12
2024-12-21 15:00:00,45644.801995,15,6,12
2024-12-21 16:00:00,45473.217337,16,6,12
2024-12-21 17:00:00,45909.785192999996,17,6,12
2024-12-21 18:00:00,47133.379106,18,6,12
2024-12-21 19:00:00,48850.303384,19,6,12
2024-12-21 20:00:00,49319.205787000006,20,6,12
2024-12-21 21:00:00,49352.326548,21,6,12
2024-12-21 22:00:00,49132.271119000005,22,6,12
2024-12-21 23:00:00,48224.832394000005,23,6,12
2024-12-22 00:00:00,47087.728580999996,0,0,12
2024-12-22 01:00:00,46000.48479899999,1,0,12
2024-12-22 02:00:00,45370.129962,2,0,12
2024-12-22 03:00:00,44986.09086599999,3,0,12
2024-12-22 04:00:00,44903.235215,4,0,12
2024-12-22 05:00:00,45128.88326,5,0,12
2024-12-22 06:00:00,45836.05822,6,0,12
2024-12-22 07:00:00,47177.170057999996,7,0,12
2024-12-22 08:00:00,48575.092048,8,0,12
2024-12-22 09:00:00,49467.757961,9,0,12
2024-12-22 10:00:00,49594.589162,10,0,12
2024-12-22 11:00:00,48883.251455000005,11,0,12
2024-12-22 12:00:00,47706.392588,12,0,12
2024-12-22 13:00:00,46362.371164,13,0,12
2024-12-22 14:00:00,45609.055045,14,0,12
2024-12-22 15:00:00,45364.355114,15,0,12
2024-12-22 16:00:00,45424.432963000014,16,0,12
2024-12-22 17:00:00,45728.261115999994,17,0,12
2024-12-22 18:00:00,47143.44917100001,18,0,12
2024-12-22 19:00:00,48519.39474900001,19,0,12
2024-12-22 20:00:00,48422.061375,20,0,12
2024-12-22 21:00:00,48032.33588500001,21,0,12
2024-12-22 22:00:00,47378.755397,22,0,12
2024-12-22 23:00:00,46065.450568,23,0,12
2024-12-23 00:00:00,44479.568208000004,0,1,12
2024-12-23 01:00:00,42911.436501,1,1,12
2024-12-23 02:00:00,41938.698005000006,2,1,12
2024-12-23 03:00:00,41308.53706,3,1,12
2024-12-23 04:00:00,41136.988792000004,4,1,12
2024-12-23 05:00:00,41677.85718499999,5,1,12
2024-12-23 06:00:00,42996.190868,6,1,12
