timestamp,generation_mw,hour,minute,day
2024-12-04 16:30:00,1273.42227,16,30,4
2024-12-04 16:45:00,1272.901502,16,45,4
2024-12-04 17:00:00,1272.801485,17,0,4
2024-12-04 17:15:00,1272.319733,17,15,4
2024-12-04 17:30:00,1272.131452,17,30,4
2024-12-04 17:45:00,1272.535024,17,45,4
2024-12-04 18:00:00,1272.29277,18,0,4
2024-12-04 18:15:00,1272.514234,18,15,4
2024-12-04 18:30:00,1272.250705,18,30,4
2024-12-04 18:45:00,1272.232597,18,45,4
2024-12-04 19:00:00,1272.219681,19,0,4
2024-12-04 19:15:00,1272.273943,19,15,4
2024-12-04 19:30:00,1272.190464,19,30,4
2024-12-04 19:45:00,1272.558543,19,45,4
2024-12-04 20:00:00,1272.454839,20,0,4
2024-12-04 20:15:00,1272.438119,20,15,4
2024-12-04 20:30:00,1272.42873,20,30,4
2024-12-04 20:45:00,1272.712516,20,45,4
2024-12-04 21:00:00,1272.827625,21,0,4
2024-12-04 21:15:00,1272.488447,21,15,4
2024-12-04 21:30:00,1272.241962,21,30,4
2024-12-04 21:45:00,1272.372725,21,45,4
2024-12-04 22:00:00,1272.190717,22,0,4
2024-12-04 22:15:00,1272.26963,22,15,4
2024-12-04 22:30:00,1272.206623,22,30,4
2024-12-04 22:45:00,1272.263919,22,45,4
2024-12-04 23:00:00,1272.0389,23,0,4
2024-12-04 23:15:00,1271.931825,23,15,4
2024-12-04 23:30:00,1272.243433,23,30,4
2024-12-04 23:45:00,1272.137612,23,45,4
